protein.id	LFQ_C37BM	LFQ_C39BM	LFQ_C37BS	LFQ_C39BS	LFQ_C37BW3	LFQ_C39BW3	LFQ_C37PM	LFQ_C39PM	LFQ_C37PS	LFQ_C39PS	LFQ_C37PW3	LFQ_C39PW3	LFQ_C37PPM	LFQ_C39PPM	LFQ_C37PPS	LFQ_C39PPS	LFQ_C37PPW3	LFQ_C39PPW3
P13671	585739.907368218	444759.748553928	NA	690229.721070268	942799.814692495	1192199.31225978	704300.138595539	882560.188197951	585140.061614882	NA	NA	459339.776729072	544310.189878834	946370.159995775	801729.886145843	870270.216083877	792919.625844165	870950.463378011
P18206	1022799.73033093	596510.391135256	1509000.38488719	2075700.04844343	3053499.63450995	1389600.31537307	1893999.41636715	1155800.4996446	1530599.85875661	2022200.34694648	2283199.2747	1847399.28641443	1935301.16867182	1287099.75715945	1504900.23646323	1020900.28022309	2323099.06682668	1712700.99207789
Q5T985;P19823;Q5T987	1763200.8527876	2839201.2429476	516519.799456597	1132299.8182649	1488600.90655738	1988598.74386445	1740800.47838703	1410599.91395633	941189.530946197	617609.643757437	980069.781587636	952140.564152408	2079199.14046467	1020200.02358259	1105299.51578429	1879598.8140691	795560.483043422	1121000.45903504
P19827	1215600.51663752	774660.048311544	629289.694710027	596930.090128181	1751199.51947194	1692501.08330456	1378400.47669206	1018300.01632896	738810.291118558	668280.309728405	584220.203694702	555300.292529384	750860.129719458	1235400.5694187	1066499.75935478	2215599.35736232	776769.607235347	1022199.52249763
P20851;Q5VVQ7	7925297.16128341	21164989.9511426	3879901.24403879	2837099.98683671	1351100.52026032	2769400.20296483	6561696.84959534	4004300.5182198	8468000.11938192	25258994.675559	1040399.79449192	1761700.27563854	8049298.32337548	4584600.40516052	4599000.08576184	7395695.88467555	3334600.82777489	5858103.52532845
P21333;Q60FE5;A0A7P0NMY4	637780.112010797	1279600.43992802	600239.603835464	1750799.03322068	781260.022931045	3515699.66834843	1075000.45369218	2057299.71644749	581500.047727178	712200.114204025	484979.96129496	973240.600896455	1155699.65254564	1456999.87270229	1166400.01311805	1574000.1604145	1171800.45652812	2844999.00907692
P23528;E9PP50;E9PS23;G3V1A4;E9PK25	861270.21526034	2556498.92966524	890359.564681511	1687799.69255664	1202599.88584115	NA	689989.766267562	514839.928056431	941040.224201176	3780999.09891969	974890.254266597	1104999.99253858	1163199.99691512	NA	600730.224792927	449179.845344802	1107899.27544175	NA
P27169	52573028.8730725	15842004.8350746	58569029.111484	41414995.6792163	90451026.8186633	44977998.9130661	61582967.8611961	45249974.723193	50878995.9201409	13881992.0607783	58804975.4841746	28079007.1139789	36013002.288851	33264987.2371374	45972004.6916929	30982017.332828	65915979.2819016	32216013.4281043
P35858	376890.168877797	935549.809815929	538399.906571093	363450.005027169	540140.227169852	272670.108477644	432509.999547606	316889.979050658	584139.881494164	972390.466727199	537790.235858366	866189.568559819	368159.924751349	573570.007913076	453000.194890053	422179.819425467	350560.029843195	780319.632904195
P43652	1204700.41947399	3593999.39965418	2583199.87260251	616179.932403211	961500.125794535	743679.795720635	1690099.59493443	584430.32936347	1896299.48945099	1798799.05446927	1633399.49776649	1149599.54595843	786919.967955316	1140599.42417516	1002900.56759132	NA	1220899.43425986	1066499.75935478
P48059;A0A0M3HER1	954280.406894206	NA	524699.891135523	1170600.43665793	2372600.29450743	880970.094479219	1579300.90570919	1287200.15785036	811680.423002122	NA	798529.953374634	1562199.88492535	1161700.03722131	949350.125918722	639879.736008556	1637700.34365293	2077100.07649145	1594100.31570713
P55058	1170600.43665793	625189.862791454	2100001.3825821	1264299.64391589	1250300.37960371	NA	2857699.08217963	1666099.50667815	3772800.04084667	778529.730607357	2857899.32784495	NA	5096301.53793903	1053599.44882557	2275599.15176283	969380.469860745	4242102.01580892	NA
P60709;E7EVS6;A0A2R8Y793	4496902.29136217	2502201.36439504	2458399.76114334	5003000.29361442	4398600.21851231	3638201.66432172	4142200.67677822	3951097.93013345	2628099.06240419	4348797.37163601	4385697.64495265	5148800.63140144	3626599.31786222	3443300.45329386	2793600.67445868	3892499.22078434	4510102.21168822	3552099.47791734
P61224;A6NIZ1;F5H823;F5H7Y6;E7ESV4;F5GZG1;B7ZB78;P62834;F5GX62	2976198.28211152	1811299.00530672	6455097.11527297	2459199.43662451	3641098.41848141	NA	3049300.05967606	1630999.92707135	6298398.34516127	NA	6752502.03065578	5170103.12664202	8205504.62565789	1131400.48858441	9275004.39332131	1801500.2743492	10584999.6312718	NA
P63104;E7EX29;E7ESK7;B0AZS6	989880.546035382	1019900.63852834	1410499.21205883	1462900.36719175	2500501.58184723	230539.94386399	1454699.80859069	691719.67033252	1237800.56755516	2704899.63059588	NA	NA	1123999.67662497	NA	735950.024251664	530159.708192062	1206000.76583254	193859.95607078
P68363;Q9BQE3;F5H5D3;Q71U36;F8VVB9;A0A1W2PQM2;P0DPH8;P0DPH7;Q6PEY2;F8VQQ4	1968699.61344895	1017500.64747626	1276400.3198541	4689799.01487174	2418301.33147378	2076699.18770608	1026500.66479257	1273400.11064517	977560.590055346	3846702.25505813	1312100.02473932	1560199.84913806	1078700.58227905	899830.074363666	1209099.512072	2108001.38139702	1171100.42454052	2811701.05065441
P68871;A0A2R8Y7R2;F8W6P5	13693006.235839	87751993.1363389	7771701.81564655	30776018.5478816	12841999.6737307	12921993.7618699	8233203.53428416	30840984.6254354	6670603.73351566	43574989.8954747	14212005.0018874	11791994.3097582	9789198.05810676	11026999.7126165	14922007.8776831	24198011.515593	10503005.2914207	12753999.651786
P69905;G3V1N2;A0A2R8Y7C0	7219102.90187347	41469017.992221	6010797.49179392	13113005.1100356	6484598.4760892	4802697.75797495	4780601.62320626	16770008.8178014	3735101.42384367	26400995.126756	4579197.0211664	5691299.57586093	6076797.07057448	5782701.28690885	5786402.72611029	11116993.5885916	5540697.31005008	14520001.2176049
P80108	2330900.97389404	984729.883809437	3244700.59898319	2177600.59823971	2679798.33984915	1664199.65566628	2557401.51666489	2654298.26041827	2765499.95273079	2169499.94939376	2425098.46146596	801400.310793279	1510800.95653571	3346697.8364267	1660799.43391826	1820501.07188605	3178201.42142752	3902299.55168622
Q03591;B1AKG0	3360402.19558938	772569.496551362	1518000.67049922	1423699.86454929	2726199.91648406	1226299.2682588	2603001.45942328	1799400.8256007	2436001.39140218	881579.446916063	1821300.31680072	1456799.55536437	2781799.5802501	1358399.14798633	1395299.79907971	1542000.37865088	1684199.83418774	1047999.46010377
Q13790	755199.767277623	1763599.51266918	1271500.82497984	NA	1196600.21458167	NA	712079.60206202	301569.955466436	1041499.38752934	602129.660856113	1415400.90102312	298289.897327245	661640.323969657	NA	653210.412563735	NA	1694699.84384348	NA
Q14520	7781499.83275967	5925003.08991897	5038199.34811908	4879602.81431452	11633998.7580711	5135700.05997757	7736999.46235761	5822500.68607259	7706995.11201506	5811403.38865364	8485000.45752634	5998096.1861136	8583204.07279235	4198598.16404363	6841101.45714874	3629899.52414204	7523396.67359575	6772698.95242495
Q14624;B7ZKJ8;H7C0L5	3351998.25152428	1228800.17284918	4004602.28638791	3193900.23229481	2810099.36152068	5122199.40013213	4268498.27307058	4504798.54217408	4126300.7348334	841439.978341517	2669900.1163986	2167900.06278488	3620400.37032582	5964196.76339765	2824898.51489227	4832301.18377241	2654600.06679153	6275200.66813618
Q15166;F8WD41;C9JZ99	670329.66768028	462229.770587294	663829.906841195	807050.370804202	1103799.79239629	838329.781193506	806940.479370371	1137100.31251542	333890.2134836	NA	399700.168333416	468559.735259816	262609.861788527	438760.008621359	361630.089561583	925540.600493953	660569.638357654	455169.796613986
Q9H4B7	348289.939595764	NA	285419.907977364	724830.053314906	291679.81613359	602499.942359673	411720.068157615	305169.983466826	248530.152753784	489769.986838843	310949.900904025	862769.999271382	351809.903334216	454060.287622965	353370.104301156	390209.854189488	246170.103354455	815249.870917948
Q9HBI1;A0A087WZB5	1800300.28959088	1251299.18356406	2469501.38187135	3742698.96626878	4039500.47110776	2112400.95855847	2533799.64023839	2692999.67170795	1865100.56486279	1568899.72549812	3223399.38155976	3293399.13387463	2359799.36435232	1643300.33923972	2257300.15919519	2194499.03494072	3183798.96112253	2735098.85124381
Q9NZN3	452340.090184088	1020000.42378334	NA	1342200.4794921	NA	1371699.64785074	671750.016516645	834289.697181359	624050.268038771	1977299.66012308	1121099.76043502	1752600.78437712	604620.09492908	671430.375588039	876009.648554342	781580.28229626	NA	1284099.86352961
Q9UHG3;F8W8W4	1428299.93505443	NA	2243699.98489959	977090.267163717	1676799.21821681	779569.991104765	1525299.22313388	1403499.45836747	1881699.7849043	NA	1467000.51062952	1017099.85371436	1811600.75887226	1340499.8243553	1863900.10690305	1178099.3565171	1403599.660521	1502800.69698114
Q9Y490	5136800.12085119	1349800.75297075	2362299.67007197	5158503.06057149	4161901.79562977	3103400.03222223	6077496.06627826	5456099.03360438	3325500.7185497	NA	NA	608709.760535238	6007500.50959736	4597601.84882915	3854399.40684441	4856799.68630466	4719598.72870465	2142099.21531867
