Accesion 	Hits	Gene.name
Q9H4H8	1	FA83D_HUMAN
P49354	1	FNTA_HUMAN
Q8N9T8	1	KRI1_HUMAN
Q9H9Z2	1	LN28A_HUMAN
P31949	1	S10AB_HUMAN
Q9HCY8	1	S10AE_HUMAN
P06703	1	S10A6_HUMAN
Q96EA4	1	SPDLY_HUMAN
Q9UPX0	1	TUTLB_HUMAN
Q9Y2Y8	1	PRG3_HUMAN
P12931	1	SRC_HUMAN
O00764	1	PDXK_HUMAN
Q14242	1	SELPL_HUMAN
P00491	1	PNPH_HUMAN
P20848	1	A1ATR_HUMAN
A6NGU5	1	GGT3_HUMAN
Q5VSP4	1	LC1L1_HUMAN
Q96QS0	1	Q96QS0_HUMAN
O60361	1	NDK8_HUMAN
Q92670	1	ZN75C_HUMAN
P50395	1	GDIB_HUMAN
Q9H1K0	1	RBNS5_HUMAN
A6NK89	1	RASFA_HUMAN
O95267	1	GRP1_HUMAN
Q15404	1	RSU1_HUMAN
P63000	1	RAC1_HUMAN
Q9H0U4	1	RAB1B_HUMAN
O00194	1	RB27B_HUMAN
P51148	1	RAB5C_HUMAN
P20340	1	RAB6A_HUMAN
Q9NRW1	1	RAB6B_HUMAN
P51149	1	RAB7A_HUMAN
P62834	1	RAP1A_HUMAN
O14827	1	RGRF2_HUMAN
P23467	1	PTPRB_HUMAN
Q9NZ71	1	RTEL1_HUMAN
Q8IZ40	1	RCOR2_HUMAN
Q9NQC3	1	RTN4_HUMAN
Q99969	1	RARR2_HUMAN
Q8TC12	1	RDH11_HUMAN
Q9HBH5	1	RDH14_HUMAN
Q86TG7	1	PEG10_HUMAN
A2J1M3	1	A2J1M3_HUMAN
A2J1N5	1	A2J1N5_HUMAN
A2J1M8	1	A2J1M8_HUMAN
A2J1N4	1	A2J1N4_HUMAN
A2NW97	1	A2NW97_HUMAN
P52566	1	GDIR2_HUMAN
Q9C0H5	1	RHG39_HUMAN
P08100	1	OPSD_HUMAN
Q8IZC4	1	RTKN2_HUMAN
P34096	1	RNAS4_HUMAN
P13489	1	RINI_HUMAN
Q9P2E9	1	RRBP1_HUMAN
Q96C34	1	RUND1_HUMAN
Q96NL0	1	RUN3B_HUMAN
P21817	1	RYR1_HUMAN
Q92736	1	RYR2_HUMAN
Q9NZJ4	1	SACS_HUMAN
P16615	1	AT2A2_HUMAN
Q93084	1	AT2A3_HUMAN
P0DPB3	1	SCHI1_HUMAN
A2VEC9	1	SSPO_HUMAN
F8WFB2	1	F8WFB2_HUMAN
Q13103	1	SPP24_HUMAN
Q99985	1	SEM3C_HUMAN
Q9NQ38	1	ISK5_HUMAN
Q9BRS2	1	RIOK1_HUMAN
P30153	1	2AAA_HUMAN
Q96P63	1	SPB12_HUMAN
P36952	1	SPB5_HUMAN
P50454	1	SERPH_HUMAN
A6NMB1	1	SIG16_HUMAN
O15389	1	SIGL5_HUMAN
Q5T5P2	1	SKT_HUMAN
Q9HCC1	1	Q9HCC1_HUMAN
P22531;P22532;P35325;P35326;Q9BYE4	1	SPR2E_HUMAN;SPR2D_HUMAN;SPR2B_HUMAN;SPR2A_HUMAN;SPR2G_HUMAN
O75691	1	UTP20_HUMAN
P11166	1	GTR1_HUMAN
P11168	1	GTR2_HUMAN
Q92543	1	SNX19_HUMAN
P09486	1	SPRC_HUMAN
Q14515	1	SPRL1_HUMAN
P11277	1	SPTB1_HUMAN
A6NHP3	1	SPE2B_HUMAN
Q6Q759	1	SPG17_HUMAN
P38646	1	GRP75_HUMAN
Q8NDV3	1	SMC1B_HUMAN
Q9UQE7	1	SMC3_HUMAN
P02814	1	SMR3B_HUMAN
P21912	1	SDHB_HUMAN
Q9UBE0	1	SAE1_HUMAN
Q6UWP8	1	SBSN_HUMAN
Q99536	1	VAT1_HUMAN
P61764	1	STXB1_HUMAN
Q15833	1	STXB2_HUMAN
A0A1B0GX95	1	TVB74_HUMAN
Q86VP1	1	TAXB1_HUMAN
Q4KMP7	1	TB10B_HUMAN
Q9BYX2	1	TBD2A_HUMAN
Q9Y2I9	1	TBC30_HUMAN
Q6ZT07	1	TBCD9_HUMAN
P50991	1	TCPD_HUMAN
P48643	1	TCPE_HUMAN
Q9P273	1	TEN3_HUMAN
P30048	1	PRDX3_HUMAN
Q16762	1	THTR_HUMAN
P24557	1	THAS_HUMAN
P19971	1	TYPH_HUMAN
O95049	1	ZO3_HUMAN
Q9H497	1	TOR3A_HUMAN
Q969N4	1	TAAR8_HUMAN
P20062	1	TCO2_HUMAN
Q02086	1	SP2_HUMAN
P29084	1	T2EB_HUMAN
Q5VWG9	1	TAF3_HUMAN
P02786	1	TFR1_HUMAN
Q9Y4A5	1	TRRAP_HUMAN
Q9BX84	1	TRPM6_HUMAN
P55072	1	TERA_HUMAN
P29401	1	TKT_HUMAN
Q9BZD6	1	TMG4_HUMAN
Q9BYE2	1	TMPSD_HUMAN
A6NML5	1	TM212_HUMAN
Q9BXS4	1	TMM59_HUMAN
Q9Y5L0	1	TNPO3_HUMAN
Q86YW5	1	TRML1_HUMAN
Q3LXA3	1	TKFC_HUMAN
Q9C019	1	TRI15_HUMAN
Q32P41	1	TRM5_HUMAN
P06753	1	TPM3_HUMAN
P19429	1	TNNI3_HUMAN
P07478	1	TRY2_HUMAN
Q71U36	1	TBA1A_HUMAN
P68363	1	TBA1B_HUMAN
Q9BQE3	1	TBA1C_HUMAN
P68371	1	TBB4B_HUMAN
P48023	1	TNFL6_HUMAN
O14798	1	TR10C_HUMAN
Q16825	1	PTN21_HUMAN
P29350	1	PTN6_HUMAN
Q9Y4Z0	1	LSM4_HUMAN
P45974	1	UBP5_HUMAN
P62979	1	RS27A_HUMAN
P22314	1	UBA1_HUMAN
F4MH35	1	F4MH35_HUMAN
Q9NYU2	1	UGGG1_HUMAN
Q9NYU1	1	UGGG2_HUMAN
P16662	1	UD2B7_HUMAN
Q6P387	1	CP046_HUMAN
Q8IV33	1	K0825_HUMAN
P11684	1	UTER_HUMAN
Q9BZF9	1	UACA_HUMAN
Q5NV84	1	Q5NV84_HUMAN
Q5NV63	1	Q5NV63_HUMAN
Q5NV83	1	Q5NV83_HUMAN
P50552	1	VASP_HUMAN
Q9Y509	1	Q9Y509_HUMAN
P08670	1	VIME_HUMAN
P22891	1	PROZ_HUMAN
A2N2G6	1	A2N2G6_HUMAN
Q96PQ0	1	SORC2_HUMAN
O75083	1	WDR1_HUMAN
Q6P2C0	1	WDR93_HUMAN
Q92834	1	RPGR_HUMAN
P13010	1	XRCC5_HUMAN
P12956	1	XRCC6_HUMAN
P52741	1	ZN134_HUMAN
O75362	1	ZN217_HUMAN
Q96H40	1	ZN486_HUMAN
Q8TAW3	1	ZN671_HUMAN
Q92782	1	DPF1_HUMAN
Q96DA0	1	ZG16B_HUMAN
Q9HDC9	0	APMAP_HUMAN
